"collection_no","lng","lat"
4884,-133.151382,53.926945
4884,-133.151382,53.926945
4884,-133.151382,53.926945
4884,-133.151382,53.926945
5230,-146.983337,69.383331
5233,-146.300003,69.316666
5233,-146.300003,69.316666
5471,-146.25,69.550003
5471,-146.25,69.550003
5471,-146.25,69.550003
5477,-145.083328,69.5
5479,-145.083328,69.5
5491,-144.458328,69.605553
5492,-144.416672,69.625
5493,-144.383331,69.650002
5493,-144.383331,69.650002
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7415,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7416,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7417,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7418,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7419,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7420,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
7421,-70.75,-33.466667
